child_oid,sequence_index,institutional_label,relation_index,side_id,folio_number,face,coverage,parse_status,rule_id
1006133,60,30v,1,30v,30,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006134,61,31r,1,31r,31,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006135,62,31v,1,31v,31,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006136,63,32r,1,32r,32,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006137,64,32v,1,32v,32,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006138,65,33r,1,33r,33,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006139,66,33v,1,33v,33,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006140,67,34r,1,34r,34,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006141,68,34v,1,34v,34,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006142,69,35r,1,35r,35,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006143,70,35v,1,35v,35,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006144,71,36r,1,36r,36,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006145,72,36v,1,36v,36,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006146,73,37r,1,37r,37,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006147,74,37v,1,37v,37,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006148,75,38r,1,38r,38,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006149,76,38v,1,38v,38,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006150,77,39r,1,39r,39,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006151,78,39v,1,39v,39,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006152,79,40r,1,40r,40,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006153,80,40v,1,40v,40,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006154,81,41r,1,41r,41,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006155,82,41v,1,41v,41,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006156,83,42r,1,42r,42,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006157,84,42v,1,42v,42,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006158,85,43r,1,43r,43,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006159,86,43v,1,43v,43,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006160,87,44r,1,44r,44,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006161,88,44v,1,44v,44,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006162,89,45r,1,45r,45,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006163,90,45v,1,45v,45,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006164,91,46r,1,46r,46,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006165,92,46v,1,46v,46,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006166,93,47r,1,47r,47,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006167,94,47v,1,47v,47,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006168,95,48r,1,48r,48,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006169,96,48v,1,48v,48,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006170,97,49r,1,49r,49,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006171,98,49v,1,49v,49,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006172,99,50r,1,50r,50,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006173,100,50v,1,50v,50,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006174,101,51r,1,51r,51,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006175,102,51v,1,51v,51,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006176,103,52r,1,52r,52,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006177,104,52v,1,52v,52,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006178,105,53r,1,53r,53,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006179,106,53v,1,53v,53,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006180,107,54r,1,54r,54,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006181,108,54v,1,54v,54,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006182,109,55r,1,55r,55,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006183,110,55v,1,55v,55,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006184,111,56r,1,56r,56,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006185,112,56v,1,56v,56,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006186,113,57r,1,57r,57,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006187,114,57v,1,57v,57,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006188,115,58r,1,58r,58,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006189,116,58v,1,58v,58,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006190,117,65r,1,65r,65,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006191,118,65v,1,65v,65,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006192,119,66r,1,66r,66,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006193,120,66v,1,66v,66,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006194,121,67r,1,67r,67,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006195,122,67v,1,67v,67,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006196,123,68r,1,68r,68,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006197,124,68v,1,68v,68,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006198,125,69r,1,69r,69,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006199,126,69v and 70r,1,69v,69,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006199,126,69v and 70r,2,70r,70,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006200,127,70v (part),1,70v,70,v,part,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006201,128,70v (part),1,70v,70,v,part,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006202,129,71r,1,71r,71,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006203,130,71v and 72r,1,71v,71,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006203,130,71v and 72r,2,72r,72,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006204,131,72v (part),1,72v,72,v,part,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006205,132,72v (part),1,72v,72,v,part,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006206,133,73r,1,73r,73,r,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
1006207,134,73v,1,73v,73,v,full_or_unspecified,explicit_label_token,LABEL-FOLIO-TOKEN-V1
