complex_id,quire_id,photographic_panel_id,institutional_id,sequence_index,institutional_label,side_ids,coverage_modes,label_candidate,relation_basis,physical_leaf_id,physical_leaf_assignment_status,geometry_status,reading_order
MS408-Q16-FOLDOUT-COMPLEX,XVI,YDC-PANEL-1006241,1006241,170,94v and 95r,94v;95r,full_or_unspecified;full_or_unspecified,True,institutional_quire_profile_and_explicit_side_tokens,,quire_profile_supported,panel_geometry_unresolved,
MS408-Q16-FOLDOUT-COMPLEX,XVI,YDC-PANEL-1006242,1006242,171,95v (part),95v,part,True,institutional_quire_profile_and_explicit_side_tokens,,quire_profile_supported,panel_geometry_unresolved,
MS408-Q16-FOLDOUT-COMPLEX,XVI,YDC-PANEL-1006243,1006243,172,95v,95v,full_or_unspecified,False,institutional_quire_profile_and_explicit_side_tokens,,quire_profile_supported,panel_geometry_unresolved,
MS408-Q16-FOLDOUT-COMPLEX,XVI,YDC-PANEL-1006244,1006244,173,96r,96r,full_or_unspecified,False,institutional_quire_profile_and_explicit_side_tokens,,quire_profile_supported,panel_geometry_unresolved,
MS408-Q16-FOLDOUT-COMPLEX,XVI,YDC-PANEL-1006245,1006245,174,96v,96v,full_or_unspecified,False,institutional_quire_profile_and_explicit_side_tokens,,quire_profile_supported,panel_geometry_unresolved,
MS408-Q17-FOLDOUT-COMPLEX,XVII,YDC-PANEL-1006246,1006246,175,99r,99r,full_or_unspecified,False,institutional_quire_profile_and_explicit_side_tokens,,quire_profile_only,individual_leaf_assignment_unresolved,
MS408-Q17-FOLDOUT-COMPLEX,XVII,YDC-PANEL-1006247,1006247,176,99v,99v,full_or_unspecified,False,institutional_quire_profile_and_explicit_side_tokens,,quire_profile_only,individual_leaf_assignment_unresolved,
MS408-Q17-FOLDOUT-COMPLEX,XVII,YDC-PANEL-1006248,1006248,177,100r,100r,full_or_unspecified,False,institutional_quire_profile_and_explicit_side_tokens,,quire_profile_only,individual_leaf_assignment_unresolved,
MS408-Q17-FOLDOUT-COMPLEX,XVII,YDC-PANEL-1006249,1006249,178,100v and 101r,100v;101r,full_or_unspecified;full_or_unspecified,True,institutional_quire_profile_and_explicit_side_tokens,,quire_profile_only,individual_leaf_assignment_unresolved,
MS408-Q17-FOLDOUT-COMPLEX,XVII,YDC-PANEL-1006250,1006250,179,101v (part),101v,part,True,institutional_quire_profile_and_explicit_side_tokens,,quire_profile_only,individual_leaf_assignment_unresolved,
MS408-Q17-FOLDOUT-COMPLEX,XVII,YDC-PANEL-1006251,1006251,180,101v (part) and 102r,101v;102r,part;full_or_unspecified,True,institutional_quire_profile_and_explicit_side_tokens,,quire_profile_only,individual_leaf_assignment_unresolved,
MS408-Q17-FOLDOUT-COMPLEX,XVII,YDC-PANEL-1006252,1006252,181,102v (part),102v,part,True,institutional_quire_profile_and_explicit_side_tokens,,quire_profile_only,individual_leaf_assignment_unresolved,
MS408-Q17-FOLDOUT-COMPLEX,XVII,YDC-PANEL-1006253,1006253,182,102v (part),102v,part,True,institutional_quire_profile_and_explicit_side_tokens,,quire_profile_only,individual_leaf_assignment_unresolved,
