candidate_id,photographic_panel_id,institutional_id,institutional_label,sequence_index,source_sequence_bin,source_url,source_sha256,byte_count,width_px,height_px,stored_path,physical_parent_ids,composition_status,candidate_type,foldout_complex_ids,physical_leaf_ids,selection_strata,selection_reasons,visual_review_status,external_transliteration_consulted
PILOT-0001-CAND-012,YDC-PANEL-1006200,1006200,70v (part),127,5,https://collections.library.yale.edu/iiif/2/1006200/full/full/0/default.jpg,3b6c8594dd71257a3eb341765e4459e69f0103c395fa2792de27a76c6c891bd3,3460553,3945,3772,sha256/3b/3b6c8594dd71257a3eb341765e4459e69f0103c395fa2792de27a76c6c891bd3.jpg,70v,composite_candidate,fragmented_side_asset,MS408-Q10-FOLDOUT-COMPLEX,,composite_type:fragmented_side_asset;foldout_complex:MS408-Q10-FOLDOUT-COMPLEX,Deterministic representative of foldout complex MS408-Q10-FOLDOUT-COMPLEX | Deterministic representative of label-derived candidate type fragmented_side_asset,pending,false
PILOT-0001-CAND-013,YDC-PANEL-1006203,1006203,71v and 72r,130,5,https://collections.library.yale.edu/iiif/2/1006203/full/full/0/default.jpg,f296fdb5b4e384381fa67771316a08b7468c704c47d992a5f1407eaa1bf8e849,4057262,8865,3018,sha256/f2/f296fdb5b4e384381fa67771316a08b7468c704c47d992a5f1407eaa1bf8e849.jpg,71v;72r,composite_candidate,multi_side_asset,MS408-Q11-FOLDOUT-COMPLEX,,composite_type:multi_side_asset;foldout_complex:MS408-Q11-FOLDOUT-COMPLEX,Deterministic representative of foldout complex MS408-Q11-FOLDOUT-COMPLEX | Deterministic representative of label-derived candidate type multi_side_asset,pending,false
PILOT-0001-CAND-014,YDC-PANEL-1006223,1006223,82v,150,6,https://collections.library.yale.edu/iiif/2/1006223/full/full/0/default.jpg,8ca3b41a581cbd090701f1a2736bf539e6c8807eb9a9ee53bc54873a90d3454e,2476549,2821,3709,sha256/8c/8ca3b41a581cbd090701f1a2736bf539e6c8807eb9a9ee53bc54873a90d3454e.jpg,82v,single_side_or_unspecified,,,,ordinary_sequence_bin:6,Metadata-only ordinary-page representative of source-sequence bin 6,pending,false
PILOT-0001-CAND-015,YDC-PANEL-1006224,1006224,83r,151,6,https://collections.library.yale.edu/iiif/2/1006224/full/full/0/default.jpg,1ea16d9a117f0c48b737f9aae88042567b157fd1fea9439f79fd74456bb34d90,2534965,2753,3745,sha256/1e/1ea16d9a117f0c48b737f9aae88042567b157fd1fea9439f79fd74456bb34d90.jpg,83r,single_side_or_unspecified,,,,ordinary_sequence_bin:6,Metadata-only ordinary-page representative of source-sequence bin 6,pending,false
PILOT-0001-CAND-016,YDC-PANEL-1006228,1006228,85r (part) (part of 85-86 foldout),155,6,https://collections.library.yale.edu/iiif/2/1006228/full/full/0/default.jpg,ed5aed2bceb07b4b0534f484a7794a3da2f8a8125737aa23e434301a48c96934,2400324,2775,3745,sha256/ed/ed5aed2bceb07b4b0534f484a7794a3da2f8a8125737aa23e434301a48c96934.jpg,85r,composite_candidate,explicit_foldout_label,MS408-Q14-FOLDOUT-COMPLEX,MS408-Q14-FOLDOUT-LEAF-SEXTUPLE-01,foldout_complex:MS408-Q14-FOLDOUT-COMPLEX;institutionally_explicit_physical_leaf,Deterministic representative of foldout complex MS408-Q14-FOLDOUT-COMPLEX | Panel is assigned by institutional evidence to physical leaf MS408-Q14-FOLDOUT-LEAF-SEXTUPLE-01,pending,false
PILOT-0001-CAND-017,YDC-PANEL-1006229,1006229,85r (part) 86v (part) (part of 85-86 foldout),156,7,https://collections.library.yale.edu/iiif/2/1006229/full/full/0/default.jpg,719c844cb0ccf52acd6d8c1b6c381c706d439cdb9fd277ef25be73ba47e99f4f,6679215,7754,3890,sha256/71/719c844cb0ccf52acd6d8c1b6c381c706d439cdb9fd277ef25be73ba47e99f4f.jpg,85r;86v,composite_candidate,explicit_foldout_label,MS408-Q14-FOLDOUT-COMPLEX,MS408-Q14-FOLDOUT-LEAF-SEXTUPLE-01,composite_type:explicit_foldout_label;institutionally_explicit_physical_leaf,Deterministic representative of label-derived candidate type explicit_foldout_label | Panel is assigned by institutional evidence to physical leaf MS408-Q14-FOLDOUT-LEAF-SEXTUPLE-01,pending,false
PILOT-0001-CAND-018,YDC-PANEL-1006230,1006230,86v (part) (part of 85-86 foldout),157,7,https://collections.library.yale.edu/iiif/2/1006230/full/full/0/default.jpg,c3f9c2b497fb1ccbf9f6f0e10b240cbd79625165112a37470c3b509d86689616,4051973,4897,3788,sha256/c3/c3f9c2b497fb1ccbf9f6f0e10b240cbd79625165112a37470c3b509d86689616.jpg,86v,composite_candidate,explicit_foldout_label,MS408-Q14-FOLDOUT-COMPLEX,MS408-Q14-FOLDOUT-LEAF-SEXTUPLE-01,composite_type:explicit_foldout_label;institutionally_explicit_physical_leaf,Deterministic representative of label-derived candidate type explicit_foldout_label | Panel is assigned by institutional evidence to physical leaf MS408-Q14-FOLDOUT-LEAF-SEXTUPLE-01,pending,false
PILOT-0001-CAND-019,YDC-PANEL-1006231,1006231,85v and 86r (foldout),158,7,https://collections.library.yale.edu/iiif/2/1006231/full/full/0/default.jpg,db0bbfb090cfeee2301209c055ad65d5ca9d16c7fb6086206f827e315670e317,12711585,7925,7268,sha256/db/db0bbfb090cfeee2301209c055ad65d5ca9d16c7fb6086206f827e315670e317.jpg,85v;86r,composite_candidate,explicit_foldout_label,MS408-Q14-FOLDOUT-COMPLEX,MS408-Q14-FOLDOUT-LEAF-SEXTUPLE-01,institutionally_explicit_physical_leaf,Panel is assigned by institutional evidence to physical leaf MS408-Q14-FOLDOUT-LEAF-SEXTUPLE-01,pending,false
PILOT-0001-CAND-020,YDC-PANEL-1006233,1006233,88v and 89r,162,7,https://collections.library.yale.edu/iiif/2/1006233/full/full/0/default.jpg,7049c6388594445419386c9e8ee3516e41d2a5d8677734c43038318e2954ade6,7549178,9078,3777,sha256/70/7049c6388594445419386c9e8ee3516e41d2a5d8677734c43038318e2954ade6.jpg,88v;89r,composite_candidate,multi_side_asset,MS408-Q15-FOLDOUT-COMPLEX,,composite_type:multi_side_asset;foldout_complex:MS408-Q15-FOLDOUT-COMPLEX,Deterministic representative of foldout complex MS408-Q15-FOLDOUT-COMPLEX | Deterministic representative of label-derived candidate type multi_side_asset,pending,false
PILOT-0001-CAND-021,YDC-PANEL-1006235,1006235,89v (part) and 90r,164,7,https://collections.library.yale.edu/iiif/2/1006235/full/full/0/default.jpg,bb6e87d7f58c5e72a94170e17d6c388b0e31718c6f21086a8ed8d6f8e39df2ae,6065709,7796,3761,sha256/bb/bb6e87d7f58c5e72a94170e17d6c388b0e31718c6f21086a8ed8d6f8e39df2ae.jpg,89v;90r,composite_candidate,multi_side_with_parts,MS408-Q15-FOLDOUT-COMPLEX,,composite_type:multi_side_with_parts,Deterministic representative of label-derived candidate type multi_side_with_parts,pending,false
PILOT-0001-CAND-022,YDC-PANEL-1006242,1006242,95v (part),171,7,https://collections.library.yale.edu/iiif/2/1006242/full/full/0/default.jpg,7f6c70a788da007c7b4be55195c25b893f60afae1b111a07f75f97b218ca32d7,2366068,2731,3750,sha256/7f/7f6c70a788da007c7b4be55195c25b893f60afae1b111a07f75f97b218ca32d7.jpg,95v,composite_candidate,fragmented_side_asset,MS408-Q16-FOLDOUT-COMPLEX,,composite_type:fragmented_side_asset;foldout_complex:MS408-Q16-FOLDOUT-COMPLEX,Deterministic representative of foldout complex MS408-Q16-FOLDOUT-COMPLEX | Deterministic representative of label-derived candidate type fragmented_side_asset,pending,false
PILOT-0001-CAND-023,YDC-PANEL-1006251,1006251,101v (part) and 102r,180,7,https://collections.library.yale.edu/iiif/2/1006251/full/full/0/default.jpg,d6b8802c6dd90f8a26ec8ecd6f5a6c71f7889f2779769f1ba087b7bc73f5da0b,7307954,8176,3864,sha256/d6/d6b8802c6dd90f8a26ec8ecd6f5a6c71f7889f2779769f1ba087b7bc73f5da0b.jpg,101v;102r,composite_candidate,multi_side_with_parts,MS408-Q17-FOLDOUT-COMPLEX,,composite_type:multi_side_with_parts;foldout_complex:MS408-Q17-FOLDOUT-COMPLEX,Deterministic representative of foldout complex MS408-Q17-FOLDOUT-COMPLEX | Deterministic representative of label-derived candidate type multi_side_with_parts,pending,false
PILOT-0001-CAND-024,YDC-PANEL-1006255,1006255,103v,184,8,https://collections.library.yale.edu/iiif/2/1006255/full/full/0/default.jpg,b8442f3c29c70bf913d866586851f589fafdf5df26977222d7beacccc059de60,2431962,2762,3697,sha256/b8/b8442f3c29c70bf913d866586851f589fafdf5df26977222d7beacccc059de60.jpg,103v,single_side_or_unspecified,,,,ordinary_sequence_bin:8,Metadata-only ordinary-page representative of source-sequence bin 8,pending,false
PILOT-0001-CAND-025,YDC-PANEL-1006273,1006273,114v,202,8,https://collections.library.yale.edu/iiif/2/1006273/full/full/0/default.jpg,d6566160c2326f35770d0d3b3291fc4f30f6049969adf64f98387f6b453d518d,2302398,2671,3697,sha256/d6/d6566160c2326f35770d0d3b3291fc4f30f6049969adf64f98387f6b453d518d.jpg,114v,single_side_or_unspecified,,,,ordinary_sequence_bin:8,Metadata-only ordinary-page representative of source-sequence bin 8,pending,false
